iter	Passed	Remaining
0	4	4391
1	8	4037
2	11	3973
3	15	3905
4	19	3859
5	23	3834
6	26	3813
7	30	3831
8	34	3809
9	38	3816
10	42	3798
11	46	3809
12	50	3805
13	54	3803
14	58	3808
15	61	3796
16	65	3793
17	69	3779
18	72	3745
19	76	3727
20	79	3698
21	82	3674
22	85	3647
23	88	3610
24	92	3609
25	95	3583
26	99	3568
27	102	3545
28	106	3549
29	109	3527
30	112	3521
31	115	3499
32	119	3510
33	123	3519
34	128	3529
35	132	3535
36	135	3529
37	139	3521
38	142	3510
39	145	3503
40	149	3487
41	152	3481
42	155	3464
43	159	3458
44	162	3447
45	165	3441
46	169	3439
47	178	3548
48	182	3535
49	185	3528
50	189	3518
51	192	3510
52	195	3499
53	199	3492
54	203	3488
55	206	3481
56	209	3469
57	213	3460
58	216	3459
59	220	3459
60	224	3453
61	228	3450
62	231	3437
63	234	3430
64	237	3417
65	241	3415
66	244	3403
67	248	3400
68	251	3391
69	254	3385
70	257	3374
71	261	3369
72	264	3358
73	268	3354
74	271	3352
75	275	3345
76	278	3336
77	281	3330
78	284	3321
79	288	3318
80	291	3308
81	295	3307
82	299	3303
83	302	3303
84	306	3301
85	310	3297
86	313	3294
87	317	3292
88	321	3293
89	325	3290
90	329	3294
91	333	3292
92	337	3291
93	341	3288
94	344	3284
95	348	3282
96	352	3278
97	355	3275
98	359	3270
99	363	3271
100	367	3268
101	371	3267
102	374	3265
103	378	3260
104	382	3258
105	385	3254
106	389	3254
107	393	3250
108	397	3249
109	401	3245
110	404	3242
111	408	3240
112	412	3236
113	416	3236
114	420	3237
115	424	3237
116	428	3234
117	432	3231
118	436	3230
119	439	3226
120	443	3225
121	447	3221
122	451	3219
123	455	3217
124	459	3215
125	463	3217
126	467	3212
127	471	3210
128	475	3208
129	479	3205
130	483	3205
131	486	3201
132	490	3198
133	494	3195
134	498	3192
135	502	3189
136	505	3185
137	509	3183
138	513	3178
139	517	3177
140	520	3173
141	524	3171
142	528	3169
143	532	3166
144	536	3164
145	540	3160
146	544	3158
147	548	3154
148	551	3150
149	555	3146
150	558	3142
151	562	3138
152	566	3135
153	570	3133
154	574	3132
155	578	3129
156	581	3121
157	585	3120
158	588	3114
159	592	3108
160	595	3100
161	598	3097
162	601	3090
163	605	3087
164	608	3079
165	612	3076
166	615	3069
167	618	3064
168	621	3057
169	625	3051
170	628	3044
171	631	3041
172	634	3035
173	638	3030
174	641	3023
175	644	3018
176	647	3012
177	651	3008
178	654	3002
179	657	2997
180	661	2992
181	664	2988
182	668	2982
183	671	2977
184	675	2974
185	678	2970
186	681	2964
187	685	2960
188	688	2955
189	692	2951
190	695	2946
191	699	2942
192	702	2936
193	705	2932
194	709	2927
195	712	2923
196	716	2920
197	720	2916
198	723	2910
199	726	2906
200	729	2901
201	733	2897
202	736	2891
203	740	2887
204	743	2881
205	746	2877
206	749	2871
207	753	2868
208	756	2863
209	760	2859
210	763	2853
211	766	2849
212	769	2844
213	773	2839
214	776	2836
215	780	2833
216	783	2827
217	787	2824
218	790	2819
219	794	2815
220	797	2809
221	800	2805
222	803	2800
223	807	2797
224	810	2792
225	814	2788
226	817	2783
227	820	2779
228	823	2773
229	827	2770
230	830	2765
231	834	2761
232	837	2756
233	840	2751
234	844	2749
235	848	2745
236	851	2740
237	854	2736
238	857	2731
239	861	2726
240	864	2723
241	868	2719
242	871	2714
243	875	2711
244	878	2707
245	882	2705
246	885	2700
247	889	2696
248	892	2691
249	895	2687
250	898	2682
251	902	2678
252	905	2673
253	909	2670
254	912	2665
255	915	2661
256	918	2656
257	922	2653
258	925	2648
259	929	2645
260	932	2640
261	936	2637
262	939	2632
263	943	2629
264	946	2624
265	950	2621
266	953	2616
267	956	2612
268	959	2607
269	963	2606
270	967	2601
271	971	2600
272	975	2596
273	978	2593
274	982	2590
275	985	2586
276	989	2582
277	992	2578
278	996	2574
279	999	2569
280	1002	2566
281	1006	2562
282	1009	2558
283	1012	2553
284	1016	2549
285	1019	2545
286	1023	2542
287	1026	2538
288	1030	2534
289	1033	2529
290	1036	2525
291	1039	2521
292	1043	2517
293	1046	2513
294	1050	2509
295	1053	2505
296	1056	2501
297	1059	2496
298	1063	2492
299	1066	2488
300	1069	2484
301	1072	2479
302	1076	2475
303	1079	2471
304	1083	2468
305	1086	2464
306	1089	2459
307	1093	2456
308	1096	2452
309	1100	2449
310	1104	2447
311	1108	2444
312	1112	2440
313	1115	2437
314	1119	2434
315	1123	2432
316	1127	2429
317	1130	2425
318	1134	2421
319	1138	2418
320	1141	2415
321	1145	2411
322	1148	2407
323	1152	2404
324	1155	2400
325	1159	2397
326	1162	2392
327	1166	2389
328	1169	2385
329	1173	2382
330	1176	2378
331	1180	2374
332	1184	2371
333	1187	2367
334	1190	2363
335	1193	2359
336	1196	2354
337	1200	2351
338	1203	2346
339	1207	2343
340	1210	2339
341	1214	2335
342	1217	2331
343	1220	2328
344	1224	2324
345	1227	2319
346	1230	2315
347	1233	2311
348	1236	2307
349	1240	2303
350	1243	2299
351	1246	2295
352	1250	2291
353	1253	2287
354	1256	2283
355	1260	2279
356	1263	2275
357	1266	2271
358	1269	2267
359	1273	2263
360	1276	2259
361	1279	2255
362	1283	2252
363	1287	2250
364	1290	2245
365	1294	2242
366	1297	2238
367	1301	2234
368	1304	2230
369	1308	2227
370	1311	2223
371	1314	2219
372	1318	2215
373	1321	2211
374	1324	2207
375	1327	2203
376	1330	2199
377	1334	2196
378	1338	2192
379	1341	2188
380	1344	2184
381	1347	2180
382	1350	2176
383	1354	2172
384	1357	2168
385	1361	2165
386	1364	2161
387	1367	2157
388	1370	2153
389	1374	2149
390	1377	2145
391	1381	2142
392	1384	2138
393	1388	2135
394	1391	2131
395	1395	2128
396	1398	2124
397	1402	2121
398	1405	2116
399	1409	2113
400	1412	2109
401	1416	2107
402	1420	2103
403	1424	2101
404	1427	2097
405	1431	2094
406	1435	2091
407	1438	2087
408	1442	2084
409	1445	2080
410	1449	2076
411	1452	2073
412	1456	2070
413	1459	2066
414	1463	2062
415	1466	2058
416	1470	2055
417	1473	2051
418	1476	2047
419	1479	2043
420	1483	2040
421	1487	2037
422	1491	2034
423	1494	2030
424	1497	2026
425	1501	2022
426	1504	2019
427	1507	2014
428	1511	2011
429	1515	2008
430	1518	2005
431	1522	2001
432	1525	1997
433	1528	1993
434	1531	1989
435	1534	1985
436	1538	1981
437	1541	1977
438	1545	1974
439	1548	1971
440	1552	1967
441	1555	1963
442	1558	1959
443	1561	1955
444	1565	1952
445	1568	1948
446	1572	1944
447	1575	1940
448	1579	1937
449	1582	1934
450	1586	1930
451	1589	1927
452	1593	1923
453	1596	1920
454	1599	1916
455	1602	1912
456	1606	1908
457	1609	1904
458	1612	1900
459	1615	1896
460	1619	1893
461	1622	1889
462	1626	1885
463	1629	1882
464	1633	1879
465	1636	1875
466	1639	1871
